,index,label,review,scores,compound,Sentiment_of_the_Review
14,15,Neutral,You don’t need to write anything when it comes to iPhone because iPhone just rules the world.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
15,16,Extremely positive,Simply amazing… price is too much though.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
16,17,Extremely Negetive,The only disappointing thing is that they have stopped giving proper charger and also there is no earphones..,"{'neg': 0.308, 'neu': 0.591, 'pos': 0.101, 'compound': -0.5994}",-0.5994,Extremely Negetive
17,18,Extremely positive,"Intelligent device with amazing camera ,display ,multitasking support , battery performance and RAM Management Recieved the product in good condition and on time.","{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.9081}",0.9081,Extremely positive
18,19,Positive,Packing was very good.,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,Positive
19,20,Extremely positive,"This is my first apple product 😍 Camera 10/10
Display 10/10
Battery 10/10
No connectivity issue as I have faced in one plus nord 2 and Samsung a52s 5g
All-rounder phone I have never seen recommended to everyone but expensive just amazing!!!","{'neg': 0.066, 'neu': 0.796, 'pos': 0.138, 'compound': 0.7335}",0.7335,Extremely positive
20,21,Positive,Original product delivered with very good ackaging & fast delivery.,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.6697}",0.6697,Extremely positive
21,22,Extremely positive,Thanks for Amazon my iPhone 13 😍 Good I like this phone .,"{'neg': 0.0, 'neu': 0.375, 'pos': 0.625, 'compound': 0.8402}",0.8402,Extremely positive
22,23,Neutral,Got on discount in republic sale.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
23,24,Positive,Battery performance is improved by apple.,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.4767}",0.4767,Positive
24,25,Extremely positive,Picture quality is awesome.Look wise phone is really attractive and decent.,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.7425}",0.7425,Extremely positive
25,26,Positive,Overall performance is good.,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive
26,27,Positive,However it looks big in hand and slippery.,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}",0.4939,Positive
27,28,Positive,Phone looks good basically the diagonal camera.,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,Positive
28,29,Extremely positive,camera quality awesome.,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,Extremely positive
29,30,Neutral,I was using I Phone6 then baught this I phone13.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
30,31,Extremely positive,"Best product Excellent phone, far better than previous versions Performance are really brilliant 🤩 , and have to say about the battery life… excellence Too good, Screen display doesn’t feel like you are working with 60hz display, it feels like 90 hz , Phone os is so smooth, camera is excellent battery backup is good.","{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.9867}",0.9867,Extremely positive
31,32,Extremely positive,Over all excellent phone Nice product .fastest delivery by Amazon and thanks to seller for genuine product .,"{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.8779}",0.8779,Extremely positive
32,33,Extremely positive,Really really awesome model to be in hands..The display has a great variation comparable to the android mobiles.,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.868}",0.868,Extremely positive
33,34,Negetive,Just go for it no need any explorer.,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}",-0.296,Negetive
34,35,Extremely positive,"Best of class

Recommend to wait for any offer
Got it for 73990 Too good camera and battery life Good display Quite handy n nice in look Best in offering Finally, I gift this mobile to my lovely wife.","{'neg': 0.0, 'neu': 0.523, 'pos': 0.477, 'compound': 0.9787}",0.9787,Extremely positive
35,36,Negetive,But it's very difficult to live with one kidney!!!,"{'neg': 0.363, 'neu': 0.637, 'pos': 0.0, 'compound': -0.6773}",-0.6773,Extremely Negetive
36,37,Extremely positive,"Experiencing 1st iphone usage.. battery life is bit down otherwise worth every penny.. iPhone 13 is good connectivity and sound clarity, good experience, photo quality is good, Value for money Don't like Battery life and Charging is very slow compare to One+ Mobiles THIS IS THE BEST SMART PHONE I HAVE USED Nice product and packaging Fabulous.","{'neg': 0.027, 'neu': 0.582, 'pos': 0.391, 'compound': 0.9802}",0.9802,Extremely positive
37,38,Neutral,Especially 4K HDR video recording and photography.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
38,39,Extremely positive,Nice User Experience Everything was perfect delivery was on time and product delivered perfect.,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.8807}",0.8807,Extremely positive
39,40,Positive,All in all a good experience.,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive
40,41,Neutral,Its an phone that feels differently in hand as compared to other phones.,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.4939}",0.4939,Positive
41,42,Extremely positive,Absolutely amazing camera quality.,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.624}",0.624,Extremely positive
42,43,Positive,The one of the best.,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,Extremely positive
43,44,Positive,Good Product Good Best in the line 😃 Good Loved the experience of owning the iPhone 13.,"{'neg': 0.0, 'neu': 0.396, 'pos': 0.604, 'compound': 0.9501}",0.9501,Extremely positive
44,45,Extremely positive,A massive upgrade over the older generation of iPhones Superb phone Sb jordar hai ❤️ Just love the colour and performance as we all know ;) Every thing is just top notch🤩🤩.,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.9001}",0.9001,Extremely positive
45,46,Extremely positive,Nice product Best value for money iphone right now.,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.8555}",0.8555,Extremely positive
46,47,Extremely positive,"Go for starlight or pink, no finger prints at all Good product
Camera is superb
Smoothness is of next level
Feeling proud and feel honor As expected First phone amazing Liking the device from all the aspects (battery life, performance, software) Go for it .","{'neg': 0.037, 'neu': 0.605, 'pos': 0.358, 'compound': 0.959}",0.959,Extremely positive
47,48,Positive,Play Video The battery life and camera of this phone is very good.,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.6801}",0.6801,Extremely positive
48,49,Positive,I am upgrade with newer version once they have it Good phone.,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",0.4404,Positive
49,50,Neutral,Got delivered quickly.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
50,51,Neutral,Battery life is extra ordinary.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
51,52,Neutral,Performance is better.,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,Positive
52,53,Positive,"seems very good, let's see long term the long term use Shifted to iOS for the first time.","{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4927}",0.4927,Positive
53,54,Positive,Happy with the purchase.,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,Extremely positive
54,55,Neutral,Battery Camera OS everything’s buttery smooth!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
55,56,Extremely positive,This is my first iPhone and the experience has been amazing.,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.5859}",0.5859,Extremely positive
56,57,Neutral,Iphone13 Quality is above all the existing smartphones in the world.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
57,58,Extremely positive,Best phone Quite Awsome Phone everything is perfect.,"{'neg': 0.0, 'neu': 0.432, 'pos': 0.568, 'compound': 0.836}",0.836,Extremely positive
58,59,Extremely positive,amazon delivery and exchange was awesome.,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.7003}",0.7003,Extremely positive
59,60,Extremely positive,i bought i phone 13 starlight few days ago... just wow... love it..,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.6369,Extremely positive
60,61,Neutral,While playing camera and video recording the phone is getting heated Received in two days!,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2714}",0.2714,Positive
61,62,Extremely positive,Amazing package and authentic product!,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6239}",0.6239,Extremely positive
62,63,Extremely positive,My first iphone and there is nothing better…Go for it..Absolutely Fabulous Iphone13 Quality is above all the existing smartphones in the world.,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.5267}",0.5267,Extremely positive
63,64,Extremely positive,Best phone Quite Awsome Phone everything is perfect.,"{'neg': 0.0, 'neu': 0.432, 'pos': 0.568, 'compound': 0.836}",0.836,Extremely positive
64,65,Extremely positive,amazon delivery and exchange was awesome.,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.7003}",0.7003,Extremely positive
65,66,Extremely positive,i bought i phone 13 starlight few days ago... just wow... love it..,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.6369,Extremely positive
66,67,Neutral,While playing camera and video recording the phone is getting heated Received in two days!,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2714}",0.2714,Positive
67,68,Extremely positive,Amazing package and authentic product!,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6239}",0.6239,Extremely positive
68,69,Extremely positive,"My first iphone and there is nothing better…Go for it..Absolutely Fabulous It’s an amazing phone….First time IPhone user, great user interface…Sexy looking phone.","{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.9062}",0.9062,Extremely positive
69,70,Extremely positive,"Nice phone and battery backup improve other iphone Great filling Value for money , quite good performance Camera is superb As Expected iphone rocks.. High price One of the finest creation from apple loving it It’s a wonderful phone.","{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.9821}",0.9821,Extremely positive
70,71,Positive,Iphone 13 is very beautiful phone...& very simple.. phone..,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6361}",0.6361,Extremely positive
71,72,Positive,Product is very good.,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,Positive
72,73,Extremely positive,I am happy with this product genuine product by amazon thanku loved to buy it Phone was nice and delivery was late Best in this range Got delivered in 1.5days.,"{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.946}",0.946,Extremely positive
73,74,Neutral,Amazing Amazon!!,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7256}",0.7256,Extremely positive
74,75,Extremely positive,Overall good buy Ok Worth every penny An expensive one.,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.7184}",0.7184,Extremely positive
75,76,Extremely positive,"Awesome product Let’s see how it work Amazing phone🤩battery ,everything Mobile nice Just superb phone.","{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.9413}",0.9413,Extremely positive
76,77,Extremely positive,Amazing phone Awesome.,"{'neg': 0.0, 'neu': 0.112, 'pos': 0.888, 'compound': 0.836}",0.836,Extremely positive
77,78,Extremely positive,Ty amazon Mostly liked It’s worthy!,"{'neg': 0.0, 'neu': 0.163, 'pos': 0.837, 'compound': 0.8516}",0.8516,Extremely positive
78,79,Positive,Like Nice Worth every penny.,"{'neg': 0.0, 'neu': 0.217, 'pos': 0.783, 'compound': 0.7351}",0.7351,Extremely positive
79,80,Extremely positive,Purely loved it 💙 Value for money Decent battery life Great Good product Good Awesome ✌️ Very sharp display Ok Was using 11 before this.,"{'neg': 0.0, 'neu': 0.422, 'pos': 0.578, 'compound': 0.973}",0.973,Extremely positive
80,81,Positive,Wanted to go for 13 pro.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
81,82,Positive,Wished 120 hertz pro motion display in my phone.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
82,83,Neutral,But that costed way too much.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
83,84,Neutral,Nevertheless this standard 13 model is not too behind.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
84,85,Neutral,Almost same cameras.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
85,86,Extremely positive,Amazing battery life and speakers.,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.5859}",0.5859,Extremely positive
86,87,Neutral,And build is similar to 12 offourse but functionality is better.,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.5927}",0.5927,Extremely positive
87,88,Positive,Great changes from 12 especially in camera and battery.,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.6249}",0.6249,Extremely positive
88,89,Positive,Perfect value smartphone in 72000₹ (128gb).,"{'neg': 0.0, 'neu': 0.396, 'pos': 0.604, 'compound': 0.7269}",0.7269,Extremely positive
89,90,Neutral,IOS is IOS.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
90,91,Positive,Ecosystem is unmatched.,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.0772}",-0.0772,Negetive
91,92,Positive,Hence for me a perfect phone.,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",0.5719,Extremely positive
92,93,Negetive,"Long time android user here, I bought the iPhone 13 as a replacement of my android mid range and also to shoot Youtube videos as I think an iPhone offers better value than any 60-70k vlogging cam.","{'neg': 0.062, 'neu': 0.801, 'pos': 0.137, 'compound': 0.4404}",0.4404,Positive
93,94,Positive,"Absolutely love the camera, battery backup, the build quality-just no words there.","{'neg': 0.132, 'neu': 0.599, 'pos': 0.269, 'compound': 0.5095}",0.5095,Extremely positive
94,95,Negetive,"Unlike android, I do not have to worry for extended zoom and g calls--very reliable.","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3412}",0.3412,Positive
95,96,Neutral,"Definitely, Apple got another long time iPhone customer.","{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,Positive
96,97,Negetive,"Upgraded from 8 plus to 13, so far I lovee the camera settings and it’s display, the battery life is something I didn’t expect from specially Iphone, the charge cycle is unbelievable!!","{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.3365}",0.3365,Positive
97,98,Positive,If I charge my phone in the morning then it’s good to go for an entire day to use it!!,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.5399}",0.5399,Extremely positive
98,99,Positive,I’m glad I purchased it!,"{'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.5093}",0.5093,Extremely positive
99,100,Positive,took some time to adapt the new interface from android but its all worth it in the end.,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.3291}",0.3291,Positive
100,101,Positive,What's Great?,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,Extremely positive
101,102,Neutral,1,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
102,103,Neutral,"Display
2.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
103,104,Neutral,"Camera
3.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
104,105,Neutral,"Stereo Sound
4.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
105,106,Neutral,"Battery
5.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
106,107,Negetive,"User Interface

What you will miss?","{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negetive
107,108,Neutral,1,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
108,109,Neutral,"Fingerprint scanner
2.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
109,110,Neutral,Jio switch to video call directly from voice call (Facetime !),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
110,111,Positive,Phone is excellent.,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.5719}",0.5719,Extremely positive
111,112,Neutral,IOS is very smooth.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
112,113,Positive,Battery backup excellent.,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.5719}",0.5719,Extremely positive
113,114,Negetive,The problem lies with the accessories that you will be forced to purchase.,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.8176}",-0.8176,Extremely Negetive
114,115,Negetive,There is no charger.,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}",-0.296,Negetive
115,116,Neutral,(Additional Rs.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
116,117,Neutral,1900 for apple charger).,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
117,118,Neutral,The cable is type c to lightning.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
118,119,Neutral,(Additional Rs.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
119,120,Neutral,1000 for certified belkin usb to lightning cable; apple cable >2000).,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
120,121,Negetive,No headphones.,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}",-0.296,Negetive
121,122,Neutral,(additional Rs.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
122,123,Neutral,2000 for other brand earbuds).,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
123,124,Negetive,No cover and screen guard.,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",-0.296,Negetive
124,125,Neutral,"So for this price you will get phone, cable, sim ejector pin.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
125,126,Positive,"Im not satisfied with this cable, they should have provided usb to lightning cable.","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3252}",-0.3252,Negetive
126,127,Neutral,"Play Video
 Best mobile.","{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.765}",0.765,Extremely positive
127,128,Extremely positive,Best thing is cinematic video recording and as well as nice picture quality.,"{'neg': 0.0, 'neu': 0.524, 'pos': 0.476, 'compound': 0.8442}",0.8442,Extremely positive
128,129,Positive,Update from iphone 11 to 13 and liked it.,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",0.4215,Positive
129,130,Extremely positive,"Actually I am Android user since 10 Years & Now I Switched to Iphone Yes its little difficult to adjust and comfortable with iphone it's take almost 1 week to friendly with them
Otherwise I am Student so as a student usage The Battery gives me almost 1.5 Days with once full charge & No Doubt Performance is Next Level
Camera is Good Both Rear & Front But you will miss Telephoto Lense but overall is good
I got Huge Discount it's almost I spend 63,000/- INR for 128 GB

Trust me If you have sufficient Fund Go for it
Otherwise Next Option is Iphone 12 for 50,000/- I think in this price is Good

Thanks Apple iphone quality is good.","{'neg': 0.051, 'neu': 0.719, 'pos': 0.23, 'compound': 0.9773}",0.9773,Extremely positive
130,131,Extremely positive,"Battery life is good initially, hope it remains same for some time.","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.7003}",0.7003,Extremely positive
131,132,Negetive,Money wise all apple products are costly.,"{'neg': 0.147, 'neu': 0.526, 'pos': 0.326, 'compound': 0.4019}",0.4019,Positive
132,133,Extremely positive,"I saw in nearby stores
It looks almost like iphone 12 except camera position
Both the phones are awesome
Whoever is having money can go for it
But people like me can see in stores this thing is absolute beast in battery when compared to other iPhone's.","{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.7153}",0.7153,Extremely positive
133,134,Positive,I used note 20 ultra before and i am getting nearly the same battery life with this phone in this perfect shape.,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.657}",0.657,Extremely positive
134,135,Extremely positive,I am super happy about my purchase.,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.8225}",0.8225,Extremely positive
135,136,Positive,The camera is really great with some new features.,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.659}",0.659,Extremely positive
136,137,Negetive,"if u are looking for a new apple device and your budget is 80k+ u can definitely buy this and not regret.💯 Before this i have samsung and i never click self image standing in front of the mirror tab ""Mausi"" ne kaha Apple lelo aur ab shakal kesi bhi aaye selfie mirror k aage.","{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.4019}",0.4019,Positive
137,138,Extremely positive,"Note: 1 saal ruppee showoff k liye hi dete h mostly Apple lene wale log Buy from Dubai not worth 90,000 phone is good ; battery life is amazing and nice true good and nice Just received this in the morning.","{'neg': 0.034, 'neu': 0.604, 'pos': 0.362, 'compound': 0.9463}",0.9463,Extremely positive
138,139,Positive,My mother loves the red colour.,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}",0.5719,Extremely positive
139,140,Extremely positive,"Also, the camera’s pretty impressive.","{'neg': 0.0, 'neu': 0.316, 'pos': 0.684, 'compound': 0.7579}",0.7579,Extremely positive
140,141,Neutral,Haven’t tested the battery yet.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
141,142,Neutral,"But, I’m sure it’s much better than the previous versions.","{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.7783}",0.7783,Extremely positive
142,143,Positive,The best part is that Red colour’s not flashy.,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}",0.6369,Extremely positive
143,144,Neutral,"In 2022 atlas switched to iPhone, switched to IOS from Android.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
144,145,Extremely positive,"Awesome lightning fast IOS, Display, camera, battery life.","{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.6249}",0.6249,Extremely positive
145,146,Extremely positive,"Overall good experience This is my first i phone , camera is amazing ,battery is good overall feel is mind blowing , go for it if its your 1st iPhone The price is directly proportional to the features.","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8625}",0.8625,Extremely positive
146,147,Positive,Everything is perfect no issues.,"{'neg': 0.247, 'neu': 0.337, 'pos': 0.416, 'compound': 0.3612}",0.3612,Positive
147,148,Extremely positive,"If you want to switch to an iPhone, this is the perfect phone.","{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.6124}",0.6124,Extremely positive
148,149,Positive,Brand wise good phone.,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.7184}",0.7184,Extremely positive
149,150,Extremely positive,Though expensive but better for those who don't have much use and they are looking for safety quality and brand One day I will purchase it :) still a big dream saving money for buying it after 10 years atleast :( Mind blowing phone next level photography and camera quality infact battery life is also inproved much Its value for money no doubt First of all all those chapri who gonna buy it from emi will cry that it is same like iPhone 12 and doesn't have adaptor.,"{'neg': 0.127, 'neu': 0.688, 'pos': 0.185, 'compound': 0.7469}",0.7469,Extremely positive
150,151,Extremely positive,Lol then why you bought this😂 Good product and using for personal use.,"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.6908}",0.6908,Extremely positive
151,152,Neutral,The device is working well.Not facing any glitches.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
152,153,Positive,Highly recommended product for everyone .,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.2716}",0.2716,Positive
153,154,Positive,Camera has improved many folds.,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.4767}",0.4767,Positive
154,155,Extremely positive,Battery improvement is like wooooowwww!!!,"{'neg': 0.0, 'neu': 0.32, 'pos': 0.68, 'compound': 0.7488}",0.7488,Extremely positive
